PrimaryState,SettlementCity,County1,County2,State2,County3,State3,County4,State4,County5,State5,OtherDistinction,YearFounded,ChurchDistricts,city1,city2,city3,city1Lon,city1Lat,city2Lon,city2Lat,city3Lon,city3Lat
INDIANA,Montgomery/Odon,Daviess,Martin,INDIANA,NA,NA,NA,NA,NA,NA,NA,1868,28,Montgomery,Odon,NA,-87.0461181,38.6625493,-86.9913959,38.8428256,NA,NA
INDIANA,Paoli,Orange,NA,NA,NA,NA,NA,NA,NA,NA,NA,1957,1,Paoli,NA,NA,-86.468321,38.5561663,NA,NA,NA,NA
INDIANA,Hamilton,Steuben,Williams,OHIO,NA,NA,NA,NA,NA,NA,NA,1850,54,Hamilton,NA,NA,-84.9127396,41.5336616,NA,NA,NA,NA
INDIANA,Milroy,Rush,Decatur,INDIANA,NA,NA,NA,NA,NA,NA,NA,1969,3,Milroy,NA,NA,-85.4681728,39.4977842,NA,NA,NA,NA
INDIANA,Salem,Washington,NA,NA,NA,NA,NA,NA,NA,NA,NA,1972,1,Salem,NA,NA,-86.101089,38.6056131,NA,NA,NA,NA
INDIANA,South Whitley,Whitley,County),INDIANA,NA,NA,NA,NA,NA,NA,NA,1974,2,South Whitley,NA,NA,-85.6280381,41.0847677,NA,NA,NA,NA
INDIANA,Salem,Washington,Swiss,INDIANA,NA,NA,NA,NA,NA,NA,NA,1981,3,Salem,NA,NA,-86.101089,38.6056131,NA,NA,NA,NA
INDIANA,Vevay,Switzerland,Jefferson,INDIANA,NA,NA,NA,NA,NA,NA,Swiss,1987,3,Vevay,NA,NA,-85.0671725,38.7478401,NA,NA,NA,NA
INDIANA,Rockville,Parke,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,7,Rockville,NA,NA,-87.2291809,39.7625404,NA,NA,NA,NA
INDIANA,Hagerstown/Greensfork,Henry,Randolph,INDIANA,Wayne,INDIANA,NA,NA,NA,NA,NA,1994,8,Hagerstown,Greensfork,NA,-85.1616315,39.9111576,-84.8776392,40.052773,NA,NA
INDIANA,Orleans,Lawrence,Orange,INDIANA,NA,NA,NA,NA,NA,NA,NA,1994,3,Orleans,NA,NA,-86.4516557,38.6617205,NA,NA,NA,NA
INDIANA,Rochester/Akron,Fulton,Miami,INDIANA,NA,NA,NA,NA,NA,NA,NA,1996,2,Rochester,Akron,NA,-86.2158331,41.0647645,-86.0280502,41.0383766,NA,NA
INDIANA,Vevay,Switzerland,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,2,Vevay,NA,NA,-85.0671725,38.7478401,NA,NA,NA,NA
INDIANA,English,Crawford,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,1,English,NA,NA,-86.4641498,38.3345045,NA,NA,NA,NA
INDIANA,Holton/Versailles,Ripley,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1,Holton,Versailles,NA,-85.387185,39.0750538,-85.2519035,39.0719988,NA,NA
INDIANA,Mooreland,Henry,Wayne,INDIANA,NA,NA,NA,NA,NA,NA,NA,2008,1,Mooreland,NA,NA,-85.2510765,39.9975468,NA,NA,NA,NA
INDIANA,Gosport,Owen,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,1,Gosport,NA,NA,-86.6669472,39.3508793,NA,NA,NA,NA
IOWA,Kalona,Johnson,Washington,IOWA,NA,NA,NA,NA,NA,NA,NA,1846,10,Kalona,NA,NA,-91.7060015,41.4830723,NA,NA,NA,NA
