,12,61,73,11,72,22,23,71,62,44,21,43,91,92,31,41,32,42
12,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
61,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
73,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
72,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
22,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
23,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
71,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0
62,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
44,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
21,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0
43,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
91,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0
92,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0
31,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1
41,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1
32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
