"","BEAT","YEAR","VCI","P1V","P1P","AGGASS","MURDMANS","RAPE","DRUGS","WEAPONS","BURGLARY","MVTHEFT","FAMVIOL","ROBBERY"
"459",63,1992,618,84,1040,12,1,4,20,1,233,374,4,67
"460",63,1993,645,82,806,12,0,8,19,2,142,263,4,62
"461",63,1994,711,77,765,13,0,10,14,5,144,232,9,54
"462",63,1995,518,56,646,7,1,9,11,0,90,167,4,39
"463",63,1996,430,45,503,12,1,3,10,3,56,135,9,29
"464",63,1997,485,43,637,7,0,6,21,2,140,122,8,30
"465",63,1998,448,55,569,17,0,13,34,1,119,95,9,25
"466",63,1999,423,55,582,10,0,7,36,6,83,138,5,38
"467",63,2000,470,41,497,9,1,1,28,6,80,106,7,30
"468",63,2001,387,26,432,7,1,2,20,7,97,97,7,16
"469",64,1990,342,27,945,4,0,2,1,3,108,477,3,21
"470",64,1991,314,30,868,4,0,3,1,0,107,469,2,23
"471",64,1992,360,32,691,2,0,4,1,1,109,326,1,26
"472",64,1993,429,28,628,3,0,1,0,0,103,238,1,24
"473",64,1994,373,33,539,8,1,1,6,1,65,210,1,23
"474",64,1995,269,25,388,1,0,2,2,0,69,83,6,22
"475",64,1996,269,9,349,2,0,2,6,0,55,59,2,5
"476",64,1997,287,20,338,6,0,1,5,0,47,84,0,13
"477",64,1998,271,27,360,10,0,4,2,0,53,65,2,13
"478",64,1999,219,20,329,3,0,1,4,0,49,58,3,16
"479",64,2000,275,21,365,4,0,0,26,4,67,68,3,17
"480",64,2001,258,25,310,3,0,2,9,9,44,75,2,20
"481",65,1990,426,25,579,9,0,3,4,0,91,294,3,13
"482",65,1991,341,21,473,5,0,1,2,0,105,193,3,15
"483",65,1992,464,23,583,1,1,3,0,0,89,258,0,18
"484",65,1993,571,18,591,3,0,1,0,0,113,215,2,14
"485",65,1994,521,19,495,4,2,0,4,0,89,162,3,13
"486",65,1995,432,17,369,3,0,1,7,0,63,82,7,13
"487",65,1996,393,13,289,6,0,1,12,0,44,64,3,6
"488",65,1997,359,13,262,3,0,2,21,0,42,59,6,8
"489",65,1998,349,21,290,8,0,1,11,1,50,78,6,12
"490",65,1999,296,19,278,8,0,1,11,2,43,66,3,10
"491",65,2000,451,23,323,5,0,1,24,2,73,77,10,17
"492",65,2001,348,21,254,9,0,2,20,7,56,47,10,10
"493",66,1990,497,43,309,19,0,1,8,0,59,148,6,23
"494",66,1991,511,30,326,7,0,2,1,0,111,102,2,21
"495",66,1992,704,62,418,19,2,3,1,2,92,158,4,38
"496",66,1993,789,75,409,24,1,6,13,3,95,143,7,44
"497",66,1994,651,40,337,11,1,3,12,2,79,111,13,25
"498",66,1995,584,33,292,13,0,1,10,0,66,72,8,19
"499",66,1996,450,17,230,6,1,3,2,1,59,53,9,7
"500",66,1997,551,35,201,9,1,4,14,1,50,49,8,21
"501",66,1998,476,24,198,9,2,3,15,1,47,50,5,10
"502",66,1999,455,37,195,17,1,4,15,6,50,57,8,15
"503",66,2000,514,42,230,13,1,3,43,10,53,56,26,25
"504",66,2001,543,36,247,23,2,2,41,4,66,67,17,9
