TRACT,YEAR,MONTH,AGGASS,ARSON,BURGLARY,CMIS,DRUGS,GAMBLING,LARCENY,MENACING,MVTHEFT,MURDER_MANSLAUGHTER,DISCONDUCT,PROSTITUTION,RAPE,ROBBERY,SIMPASS,TRESPASS,WEAPONS,VCI,P1P,P1V
36055000200,1996,2,0,0,3,1,0,0,3,0,1,0,2,0,0,1,0,0,1,4,8,1
36055000200,1996,3,0,0,2,7,0,0,6,0,1,0,4,0,0,0,0,0,0,11,9,0
36055000200,1996,4,1,0,4,1,1,0,3,0,4,0,3,0,0,1,0,0,0,5,12,2
36055000200,1996,5,0,0,2,2,0,0,8,0,3,0,3,0,0,0,0,0,0,5,13,0
36055000200,1996,6,0,0,1,2,1,0,6,0,0,0,0,0,0,0,0,1,1,4,7,0
36055000200,1996,7,0,0,2,4,0,0,5,0,2,0,2,0,0,0,0,0,1,7,9,0
36055000200,1996,8,0,0,2,7,1,0,8,0,3,0,2,0,0,1,2,0,1,13,14,1
36055000200,1996,9,0,0,0,3,0,0,6,0,2,0,1,2,0,1,1,0,0,5,9,1
36055000200,1996,10,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,3,2,0
36055000200,1996,11,0,0,1,2,0,0,2,0,0,0,1,1,0,0,0,0,0,3,3,0
36055000200,1996,12,0,0,0,1,0,0,3,0,0,0,1,0,0,1,0,1,0,2,4,1
36055000200,1997,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
36055000200,1997,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,2,0,0,3,3,0
36055000200,1997,3,0,0,0,1,1,0,4,0,1,0,1,0,0,1,0,0,0,3,6,1
36055000200,1997,4,0,0,0,1,0,0,6,0,1,0,0,1,0,0,0,0,0,1,7,0
36055000200,1997,5,0,0,0,1,0,0,7,0,0,0,3,1,0,1,2,0,0,6,8,1
36055000200,1997,6,0,0,0,2,0,0,11,0,0,0,1,0,0,0,1,0,0,4,11,0
36055000200,1997,7,1,0,2,6,0,0,18,0,2,0,0,0,0,0,0,1,0,6,22,1
36055000200,1997,8,0,0,0,5,1,0,12,0,0,0,3,0,0,2,0,0,0,9,14,2
36055000200,1997,9,0,0,4,5,0,0,9,0,0,0,1,0,0,0,0,1,1,7,13,0
36055000200,1997,10,0,0,0,1,1,0,7,0,1,0,0,0,0,0,0,1,0,2,8,0
36055000200,1997,11,0,0,2,2,0,0,7,0,1,0,2,0,0,1,0,0,1,5,11,1
36055000200,1997,12,0,0,0,4,0,0,12,0,0,0,0,0,0,2,3,2,0,7,14,2
36055000200,1998,1,0,0,0,3,0,0,5,0,1,0,3,0,0,1,0,0,0,6,7,1
36055000200,1998,2,0,0,1,0,0,0,3,0,1,0,3,1,0,0,1,0,0,4,5,0
36055000200,1998,3,0,0,1,0,0,0,6,0,0,0,1,0,0,0,0,0,0,1,7,0
36055000200,1998,4,0,0,0,1,1,0,10,0,1,0,3,0,0,0,0,0,0,5,11,0
36055000200,1998,5,0,1,0,2,0,0,14,0,0,0,2,0,0,1,1,0,0,6,15,1
36055000200,1998,6,0,0,0,2,0,0,2,0,2,0,3,0,0,0,0,0,0,5,4,0
36055000200,1998,7,0,0,1,2,1,0,14,0,2,0,0,0,0,0,1,0,0,4,17,0
36055000200,1998,8,0,0,0,3,1,0,15,0,2,0,4,0,0,1,0,1,0,8,18,1
36055000200,1998,9,0,0,1,5,0,0,6,0,0,0,1,0,0,0,0,0,0,6,7,0
36055000200,1998,10,0,0,2,1,0,0,2,0,0,0,5,0,0,1,1,0,0,7,5,1
36055000200,1998,11,0,0,1,10,0,0,5,0,0,0,1,0,0,0,1,0,0,12,6,0
36055000200,1998,12,0,0,1,6,0,0,7,0,0,0,1,0,0,1,2,0,1,10,9,1
36055000200,1999,1,1,0,0,2,0,0,1,0,1,0,1,0,0,0,1,0,0,4,2,1
