BEAT,YEAR,MONTH,C_DRUGS,C_SHOTS,AGGASS,ARSON,ASSPRIS,ASSOFFC,BURGLARY,CMIS,DISCONDUCT,DRUGS,DRNKDRIV,EMBEZZLE,FAMVIOL,FORGERY,FRAUD,GAMBLING,LARCENY,LIQVIOL,MVTHEFT,MURDMANS,NEGMANSL,PUBDRUNK,RAPE,ROBBERY,RUNAWAY,SIMPASS,STOLPROP,TRESPASS,VAGRANCY,VANDAL,WEAPONS,PROSTITN,SEXOFF,VCI,P1V,P1P
11,1993,2,0,0,0,0,0,0,4,5,3,0,0,0,1,0,1,0,2,0,10,0,0,0,0,0,0,5,1,1,0,0,0,0,0,13,0,16
11,1993,3,0,5,1,0,0,0,5,12,4,0,0,0,1,0,0,0,2,0,10,0,0,0,1,2,0,7,0,1,0,0,0,0,3,28,4,19
11,1993,4,1,2,2,0,0,0,3,7,1,0,0,0,0,1,0,0,9,1,15,0,0,0,0,1,0,7,1,0,0,0,0,0,0,18,3,28
11,1993,5,0,4,0,0,0,0,5,10,4,0,0,1,0,0,0,0,7,0,5,0,0,0,0,0,0,7,0,1,0,0,0,0,0,25,0,17
11,1993,6,0,7,0,0,0,0,3,7,5,0,0,0,0,1,0,0,5,0,9,0,0,0,0,1,0,6,1,1,0,1,0,0,0,25,1,18
11,1993,7,1,3,0,0,0,0,1,5,1,1,0,0,0,0,1,0,5,0,2,0,0,0,1,0,0,6,0,1,0,0,0,0,1,16,1,8
11,1993,8,2,4,1,0,0,0,3,5,0,0,0,0,1,0,0,0,7,0,4,0,0,0,0,1,0,12,0,2,0,0,0,0,2,23,2,15
11,1993,9,5,3,0,0,0,0,3,11,0,2,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,29,0,16
11,1993,10,1,7,0,1,0,0,9,16,2,0,0,0,0,0,0,0,7,0,7,0,0,0,0,1,0,10,0,1,0,0,0,0,0,37,1,24
11,1993,11,0,2,1,0,0,0,1,11,1,0,0,0,0,0,0,0,8,0,6,0,0,0,0,1,0,6,0,0,0,0,0,0,0,20,2,16
11,1993,12,0,3,0,0,0,1,1,6,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,14,0,7
11,1994,1,0,0,0,2,0,0,3,7,1,0,0,0,1,0,0,0,4,0,5,0,0,0,0,2,0,6,0,1,1,0,0,0,1,16,2,14
11,1994,2,4,3,0,0,0,0,3,8,3,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,20,0,13
11,1994,3,0,4,0,0,0,0,4,12,2,0,0,0,0,0,0,0,4,0,15,0,0,0,0,0,0,2,0,1,0,0,0,0,0,20,0,23
11,1994,4,1,1,1,0,0,0,5,11,5,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,10,0,0,1,0,0,0,0,28,1,20
11,1994,5,2,2,0,1,0,0,8,7,3,0,0,0,1,0,1,0,9,0,3,0,0,0,0,1,0,5,0,2,0,0,0,0,0,20,1,21
11,1994,6,1,5,0,1,0,0,4,7,3,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,7,0,0,0,1,0,0,0,24,0,19
11,1994,7,1,2,0,0,0,0,2,12,4,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,12,0,0,1,1,0,0,0,31,0,14
11,1994,8,1,6,1,1,0,0,5,6,3,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,12,1,0,0,0,0,0,0,29,1,16
11,1994,9,3,6,1,0,0,0,3,8,1,0,0,0,1,0,0,0,2,0,9,0,0,0,0,0,0,6,0,0,0,0,0,0,0,24,1,14
11,1994,10,0,4,0,1,0,0,4,4,1,1,0,0,0,0,0,0,7,0,6,1,0,0,0,0,0,7,1,1,0,0,0,0,0,17,1,17
11,1994,11,3,2,2,0,0,0,10,4,1,0,0,0,1,0,0,0,1,0,5,0,0,0,0,1,0,8,0,0,0,0,0,0,0,18,3,17
11,1994,12,3,1,0,0,0,0,7,5,0,0,0,0,0,0,0,0,2,0,5,0,0,0,1,1,0,8,0,0,0,0,0,0,2,17,2,15
