crime,crime_name
VCI,Violent Crime Index
P1V,Part 1 violent crimes
P1P,Part 1 property crimes
AGGASS,Aggravated assualts
BURGLARY,Burglaries
DRUGS,Drug offense
FAMVIOL,Family violence
MVTHEFT,Motor vehicle theft
MURDMANS,Murder/manslaughter
RAPE,Rape
ROBBERY,Robbery
WEAPONS,Weapons charges
