BEAT,YEAR,MONTH,AGGASS,ARSON,BURGLARY,CMIS,DRUGS,GAMBLING,LARCENY,MVTHEFT,MURDMANS,DISCONDUCT,PROST,RAPE,ROBBERY,SIMPASS,TRESPASS,WEAPONS,VCI,P1V,P1P
224,1996,9,2,0,5,14,2,0,17,8,0,20,4,0,2,8,8,1,45,4,32
224,1996,10,2,0,11,19,7,0,32,10,0,19,7,0,2,3,5,0,48,4,55
224,1996,11,2,0,4,12,3,0,17,10,0,13,4,0,6,4,6,4,36,8,37
224,1996,12,1,0,13,19,4,0,25,5,0,21,0,0,7,5,3,2,51,8,50
224,1997,1,1,0,8,20,1,0,48,3,0,21,2,0,8,6,6,1,49,9,67
224,1997,2,0,0,12,17,3,0,21,7,0,15,2,2,2,6,6,1,42,4,42
224,1997,3,0,0,6,18,0,0,27,5,0,23,0,1,3,7,3,2,50,4,41
224,1997,4,1,3,5,9,0,0,31,10,0,24,0,0,4,9,4,2,47,5,50
224,1997,5,1,1,6,18,7,0,42,4,0,23,1,0,1,6,1,4,59,2,53
224,1997,6,1,0,3,11,7,0,30,4,1,36,0,2,5,9,2,0,63,9,42
224,1997,7,5,0,14,15,3,0,30,8,0,26,0,0,3,4,1,4,52,8,55
224,1997,8,1,0,18,13,1,0,29,4,0,14,0,0,6,6,4,0,34,7,57
224,1997,9,2,0,4,16,7,0,30,2,0,23,4,0,4,5,1,2,53,6,40
224,1997,10,0,0,7,8,1,0,19,4,0,21,1,2,3,5,2,1,36,5,33
224,1997,11,0,0,4,7,3,0,35,10,1,16,0,0,1,6,0,0,32,2,50
224,1997,12,0,0,15,13,3,0,31,13,0,23,1,0,10,3,0,1,43,10,69
224,1998,1,2,0,10,6,5,0,29,6,0,20,1,2,1,6,1,3,40,5,46
224,1998,2,1,0,5,11,5,0,34,4,0,21,0,0,5,5,2,2,44,6,48
224,1998,3,0,1,5,14,4,0,23,5,0,22,1,0,3,2,0,1,44,3,36
224,1998,4,2,1,1,9,8,0,29,7,0,25,1,0,1,2,5,3,48,3,38
224,1998,5,0,0,2,14,9,0,29,4,0,20,1,0,3,7,2,1,51,3,38
224,1998,6,0,0,4,19,7,0,13,4,0,19,0,0,1,6,2,2,53,1,22
224,1998,7,2,0,12,18,8,0,37,3,0,27,1,0,1,2,3,1,56,3,53
224,1998,8,0,0,12,12,2,0,31,2,0,18,1,0,2,3,2,2,37,2,47
224,1998,9,1,2,9,15,4,0,24,9,0,13,2,0,2,2,4,1,37,3,44
224,1998,10,0,3,7,11,0,0,23,9,0,17,1,1,1,1,1,0,32,2,40
224,1998,11,1,0,2,10,2,0,23,10,0,19,0,0,2,3,0,0,34,3,37
224,1998,12,2,1,8,14,1,0,16,4,0,16,0,1,1,3,1,2,37,4,29
224,1999,1,1,0,1,8,0,0,13,5,0,19,0,0,1,4,0,0,31,2,20
224,1999,2,1,2,5,8,3,0,13,6,0,19,0,0,3,1,4,1,34,4,27
224,1999,3,0,0,4,5,1,0,14,3,0,17,0,1,2,2,2,0,25,3,23
224,1999,4,0,1,7,13,9,0,23,9,0,18,2,0,3,2,2,1,44,3,42
224,1999,5,0,0,8,12,9,0,26,7,0,25,0,1,2,10,7,3,59,3,43
224,1999,6,2,0,5,8,9,0,9,4,0,21,1,0,2,7,1,1,46,4,20
224,1999,7,0,0,2,12,0,0,20,5,0,17,1,1,5,8,4,0,37,6,32
224,1999,8,1,0,13,13,5,0,33,7,0,18,0,0,1,4,3,1,41,2,54
224,1999,9,3,0,16,15,8,0,21,6,0,17,0,3,1,2,0,1,43,7,44
224,1999,10,1,0,1,15,5,0,24,6,0,22,3,0,5,0,3,2,44,6,36
224,1999,11,1,0,7,11,2,0,40,4,0,26,5,0,3,3,1,0,42,4,54
224,1999,12,1,1,10,7,4,0,21,4,0,28,0,0,1,5,2,1,46,2,36
224,2000,1,2,0,5,7,7,0,18,5,0,21,0,0,1,1,2,0,36,3,29
224,2000,2,0,2,4,13,4,0,10,3,0,20,0,0,0,2,2,2,43,0,17
224,2000,3,1,1,2,14,0,0,16,8,1,21,0,0,3,10,3,1,47,5,29
224,2000,4,2,0,3,15,4,0,21,2,0,20,0,2,4,3,0,1,43,8,30
224,2000,5,2,1,1,9,5,0,15,0,0,25,0,0,1,5,2,3,48,3,17
224,2000,6,2,0,8,10,6,0,23,5,0,26,0,1,1,4,3,0,46,4,37
224,2000,7,3,2,11,21,5,0,23,4,0,18,0,1,4,5,1,0,51,8,42
224,2000,8,3,1,11,18,4,0,24,3,0,17,0,1,2,7,3,1,48,6,40
224,2000,9,1,2,13,10,3,0,23,4,0,19,0,1,3,1,3,2,37,5,43
224,2000,10,1,0,7,13,2,0,38,9,0,14,0,0,4,1,4,3,33,5,58
224,2000,11,0,0,8,8,2,0,20,4,0,21,0,1,3,3,3,1,35,4,35
224,2000,12,1,1,6,10,3,0,19,9,0,12,0,0,1,1,0,2,29,2,35
224,2001,1,0,0,1,7,1,0,22,0,0,21,0,0,2,0,0,0,29,2,25
224,2001,2,1,0,3,12,0,0,14,0,0,12,0,1,2,0,0,1,25,4,19
224,2001,3,0,0,2,8,3,0,24,6,0,11,0,0,0,1,0,1,24,0,32
224,2001,4,1,0,0,7,1,0,22,4,0,18,0,0,5,3,2,1,30,6,31
224,2001,5,0,0,6,11,6,0,24,3,0,28,0,1,3,3,3,2,50,4,36
224,2001,6,0,0,7,10,6,0,17,4,0,13,0,0,5,3,1,1,33,5,33
224,2001,7,2,0,8,13,9,0,27,4,0,17,0,0,2,4,4,2,45,4,41
224,2001,8,0,0,11,10,10,0,18,1,0,27,0,0,1,3,0,2,52,1,31
224,2001,9,1,0,6,8,6,0,25,1,0,11,0,0,0,2,2,2,29,1,32
224,2001,10,2,0,7,12,2,0,24,0,0,17,0,0,1,2,3,2,35,3,32
224,2001,11,0,1,8,17,3,0,21,0,0,10,0,0,2,1,1,0,32,2,31
224,2001,12,2,1,6,13,8,0,18,0,0,13,0,0,2,1,0,0,36,4,26
231,1991,1,2,0,7,20,7,0,9,7,0,17,11,0,5,5,0,5,54,7,28
