TRACT,YEAR,MONTH,C_DRUGS,C_SHOTS,AGGASS,ARSON,ASSAULT_BY_PRISONER,ASSAULT_OFFICER_NO_INJURY,BURGLARY,CMIS,DISCONDUCT,DRUGS,DRUNKEN_DRIVING,EMBEZZLEMENT,FAMILY_VIOLENCE,FORGERY,FRAUD,GAMBLING,LARCENY,LIQUOR_LAW_VIOLATIONS,MVTHEFT,MURDER_MANSLAUGHTER,NEGLIGENT_MANSLAUGHTER,PROSTITUTION,PUBLIC_DRUNKENNESS,RAPE,ROBBERY,RUNAWAY,SEXOFF,SIMPASS,STOLEN_PROPERTY,TRESPASS,VAGRANCY,VANDALISM,WEAPONS,VCI,P1P,P1V
101,1993,1,0,1,1,0,0,0,2,6,5,0,0,0,0,0,2,0,13,0,3,0,0,0,0,0,5,0,1,14,0,0,0,0,0,26,23,6
101,1993,2,3,1,0,0,0,0,1,4,2,0,0,0,0,0,3,0,11,0,4,0,0,0,1,0,3,0,2,7,2,0,0,0,0,17,19,3
101,1993,3,1,0,0,0,0,0,6,6,1,2,0,0,0,0,4,0,22,0,6,0,0,0,0,0,2,0,0,7,1,0,0,0,0,15,36,2
101,1993,4,1,0,1,0,0,0,0,8,3,0,0,0,0,0,1,0,17,0,2,0,0,0,0,0,2,0,0,16,0,0,0,0,0,28,21,3
101,1993,5,2,0,0,0,0,0,2,10,1,0,0,0,0,0,2,0,14,0,5,0,0,0,0,0,3,0,0,5,0,0,0,0,0,18,24,3
101,1993,6,2,0,0,1,0,0,2,13,2,0,0,0,0,0,0,0,31,0,4,0,0,0,0,0,4,0,0,5,1,0,0,0,0,23,41,4
101,1993,7,6,0,0,0,0,0,5,9,0,0,0,0,0,2,1,0,21,0,9,0,0,0,0,0,3,0,1,7,1,1,0,0,0,22,38,3
101,1993,8,2,1,2,0,0,0,1,6,3,2,0,0,2,0,4,0,18,1,6,0,0,0,1,0,4,0,0,12,0,1,0,0,0,24,29,6
101,1993,9,2,0,1,0,0,0,5,2,4,0,0,0,0,0,1,0,15,0,3,0,0,0,0,1,0,0,2,12,1,0,0,0,0,20,23,2
101,1993,10,1,0,0,0,0,0,3,4,0,0,0,0,0,0,3,0,5,0,3,0,0,0,0,0,2,0,0,5,0,0,0,0,0,10,13,2
101,1993,11,0,1,0,0,0,0,6,8,0,0,0,0,1,1,2,0,12,0,3,0,0,0,0,0,2,0,0,5,1,0,0,0,0,14,23,2
101,1993,12,0,0,0,0,0,1,3,5,4,0,0,0,0,0,1,0,13,0,4,0,0,0,0,0,3,0,0,13,0,0,0,0,0,22,23,3
101,1994,1,1,0,0,2,0,0,2,3,1,0,0,0,0,2,3,0,10,0,7,0,0,0,0,0,2,0,0,8,1,1,0,0,0,15,21,2
101,1994,2,0,0,0,0,0,0,4,5,2,0,0,0,0,0,5,0,7,0,2,0,0,0,0,0,3,0,0,7,0,0,1,0,0,14,16,3
101,1994,3,2,1,1,0,0,0,4,4,2,0,0,0,0,0,2,0,14,0,3,0,0,0,0,0,5,0,0,9,0,0,0,0,0,18,26,6
101,1994,4,4,0,0,0,0,0,2,3,1,1,0,1,0,0,2,0,13,0,7,0,0,0,0,1,2,0,2,14,1,0,0,0,1,22,24,3
101,1994,5,3,3,0,0,0,0,0,5,2,0,0,0,0,1,4,0,10,0,5,0,0,0,0,0,5,0,0,5,0,0,0,0,0,18,20,5
101,1994,6,1,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,24,0,6,0,0,0,0,0,2,0,2,6,1,0,0,0,0,12,32,2
101,1994,7,4,1,0,1,0,0,1,1,2,0,0,0,0,1,5,0,20,0,4,0,0,0,0,0,1,0,0,9,1,1,0,0,0,18,26,1
101,1994,8,4,1,1,0,0,0,0,11,1,8,0,0,0,0,0,0,29,0,6,0,0,0,0,0,2,0,1,10,2,0,0,0,0,27,37,3
