,13,52,23,51,53,11,12,42,61,22,62,21,41,31,32
13,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
52,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
23,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
51,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
53,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
61,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
22,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
62,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
21,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
41,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
32,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
